BEPH01	BEPH02	BEPH03	BEPH04	BEPH05	BEPH06	BEPH07	BEPH08	BEPH09	BEPH10	BEPH11	BEPH12	BEPH13	BEPH14	BEPH15	BEPH16	BEPH17	BEPH18	BEPH19	BEPH20																																								
RT	Area	RA																																																									
19.344	10696.2	0.048410707	19.01	462518.9	1.092441298	17.731	15089.3	0.029316846	19.205	45130.8	0.189973907	18.987	444738.2	1.25346577	17.513	73786.7	0.364984629	18.362	71058.7	0.469030354	18.898	2012588.5	2.580246741	18.364	86241.1	0.31391497	18.78	596960.7	8.539247894	17.706	4488	0.038634158	18.804	1045539.2	4.985739674	18.27	1632.7	0.003890761	18.263	3199.4	0.009515731	18.009	5615	0.035698511	17.512	1086981.9	5.638609483	17.709	9254.9	0.043928404	17.724	56508.6	0.102530257	18.288	7520.6	0.007430104	18.357	146208.5	0.585586809
19.915	11860.5	0.053680296	19.121	45080.9	0.106478323	18.273	3314.3	0.006439319	19.265	18609.1	0.078333277	19.116	42964.6	0.121092938	17.716	741306.2	3.666858234	18.764	221536.6	1.462275415	19.008	81839.1	0.104922129	18.82	1179941.9	4.294952476	18.983	673257.9	9.630644203	18.36	47410.4	0.408124085	18.979	415566	1.981660653	18.369	121332.2	0.289137381	18.366	60925.6	0.181206361	18.251	6910.5	0.043934917	17.712	12411.9	0.064385485	18.014	4476.7	0.021248667	17.975	3874.4	0.007029784	18.384	201406.7	0.198983161	18.799	993872.3	3.980606524
20.16	472981.7	2.140702146	19.211	36948.6	0.087270329	18.371	237531	0.461496539	19.336	55544.1	0.233807726	19.207	55871	0.15746879	18.171	10209	0.050498641	18.999	1633205.8	10.78014508	19.079	850333.5	1.090173298	18.985	400750.4	1.458719216	19.11	2572.7	0.036801289	18.83	1609694.6	13.85677269	19.113	11156.7	0.053201642	18.841	1508975.3	3.595922325	18.813	930515.9	2.76756241	18.358	115653.2	0.735288877	18.014	1532.5	0.00794969	18.201	2253.9	0.010698141	18.207	6214.4	0.011275523	18.889	1272990.6	1.257672624	18.972	303177.2	1.214269822
20.695	13349.9	0.06042128	19.269	27105.8	0.064022239	18.861	2105230.8	4.090231288	19.91	31544.4	0.132783219	19.266	34382.6	0.096905128	18.367	1318.4	0.006521443	19.115	9510.5	0.062775046	19.235	68242	0.087489916	19.117	25404.2	0.092470512	19.202	106395.1	1.521932907	18.988	736004.9	6.33576866	19.205	45812.8	0.218462105	19	297645.5	0.70929597	18.989	283770.6	0.843997234	18.751	259736	1.651324752	18.362	109262.1	0.566786175	18.254	1104.2	0.005241088	18.263	2018.2	0.00366186	18.919	396698.4	0.391924903	19.108	24664	0.098782992
20.755	2653.6	0.012010121	19.343	60845.8	0.143714051	19.015	439185.7	0.853289384	20.15	1091719.2	4.595490485	19.339	69173.6	0.194961305	18.799	109447.3	0.541379167	19.21	367041.1	2.42269303	19.282	16226.9	0.020803759	19.166	2997	0.010908988	19.332	22794.7	0.326067686	19.114	2753.3	0.023701299	19.265	15617.8	0.074474764	19.123	39158.8	0.093316308	19.12	37416.6	0.111285337	18.969	306827.2	1.950716689	18.797	955111.6	4.954545541	18.361	68482.4	0.325051867	18.367	179185.4	0.32511733	19.055	398410.3	0.393616204	19.156	2701.7	0.010820711
20.96	8829.7	0.039962979	19.915	29875.9	0.070565045	19.127	67326.1	0.130807188	20.749	1063	0.0044746	19.912	52049.6	0.146698422	18.982	841796.3	4.163930767	19.266	12634.3	0.083394014	19.369	72779.7	0.093307491	19.208	45480.2	0.165546539	19.908	17414.3	0.249103542	19.206	56913.2	0.489927267	19.337	52971.9	0.252600862	19.172	4847.8	0.011552417	19.17	3569.2	0.010615599	19.107	16416.1	0.104368714	18.975	295907.8	1.534992006	18.788	728064.7	3.455760752	18.841	1542009.1	2.797850056	19.232	52397.9	0.051767393	19.199	20027.4	0.080212719
21.567	79005.7	0.357577622	20.161	1585766.5	3.745483294	19.217	66255.4	0.128726936	20.957	18107.4	0.076221417	20.166	2079265.1	5.860273818	19.119	349053	1.726584598	19.334	20612	0.136051654	19.563	10420.2	0.013359257	19.267	11169.2	0.040655547	20.128	90664.3	1.296911058	19.264	2419.5	0.02082784	19.589	1105.6	0.005272145	19.213	30812.1	0.073425932	19.21	48237.5	0.143469114	19.2	84950.6	0.540090817	19.112	29888.2	0.155042037	18.972	237848.9	1.128950344	19.008	364153.4	0.660726717	19.28	34937.4	0.034516996	19.259	23964.7	0.095982191
21.62	13673.7	0.06188679	20.691	1876.4	0.004431942	19.273	42534.2	0.08263926	21.563	153781	0.647326824	20.69	1943.3	0.005477065	19.21	10432.7	0.051605169	19.59	1994.9	0.013167545	19.689	7383.7	0.009466301	19.339	42129	0.153348273	20.717	4552.8	0.065125707	19.336	17958	0.154588283	19.911	31768.4	0.151490228	19.27	15428.7	0.036766942	19.266	1660.5	0.004938698	19.261	12220.4	0.077693693	19.162	4001	0.020754786	19.111	13343.1	0.063333054	19.122	59568	0.10808129	19.366	40236.1	0.039751936	19.33	29876.6	0.119660231
21.77	310843.8	1.406870477	20.752	2100	0.004960071	19.348	96144.2	0.186797578	21.618	20599.2	0.086710417	20.751	3193.5	0.009000673	19.269	43260	0.213984838	19.91	21884.3	0.144449603	19.929	33052.2	0.042374699	19.592	1568.1	0.005707836	20.956	2161	0.03091211	19.589	2452.2	0.021109332	20.148	950090.4	4.53058422	19.345	52968.1	0.126224182	19.343	101836.3	0.302883933	19.331	38157	0.242590933	19.203	35614.3	0.184745606	19.203	37034.4	0.175783864	19.171	8145.4	0.014779166	19.562	3120.6	0.00308305	19.646	11024.4	0.044154363
22.339	6590.5	0.029828421	20.959	26923.2	0.063590948	19.918	36120.1	0.070177371	21.764	438106.1	1.844166901	20.958	36157.7	0.101908132	19.341	15715.7	0.077737437	20.145	765875.6	5.055241711	20.167	1290878.8	1.654976075	19.669	3978.6	0.014481982	21.027	1183.6	0.016930853	19.91	17085.6	0.147078381	20.692	1543.8	0.007361737	19.596	1139.1	0.002714501	19.677	5487.8	0.016321945	19.585	1721.1	0.010942245	19.264	19201	0.09960326	19.263	11423.2	0.054220245	19.211	27917.8	0.050654577	19.677	13501.8	0.013339332	19.906	60480.7	0.242234208
