BBIM01	BBIM02	BBIM03	BBIM04	BBIM05	BBIM06	BBIM07	BBIM08	BBIM09	BBIM10	BBIM11	BBIM12	BBIM13	BBIM14	BBIM15	BBIM16	BBIM17	BBIM18	BBIM19	BBIM20	BBIM21	BBIM22	BBIM23	BBIM24																																																
RT	Area	RA																																																																					
21.567	224723.8	0.3964	19.761	9659.6	0.0113	19.76	14529.5	0.0085	19.823	16841	0.014	19.825	2350	0.0023	19.979	3889.2	0.0086	19.769	7271.8	0.0047	19.824	4858	0.0078	20.514	1572.4	0.0016	19.518	7074.5	0.0074	19.516	9179.5	0.0109	19.527	9442.2	0.0085	19.52	13351	0.0168	19.754	6038.6	0.013	19.517	3062.2	0.0046	19.767	12465.3	0.0099	19.828	4982.4	0.0068	19.778	11672.4	0.0053	19.83	5105.7	0.0064	19.515	1830.5	0.0069	19.758	3891.5	0.0072	19.755	2438.6	0.0124	19.822	1759.1	0.0074	19.369	6861	0.0204
21.621	23214.2	0.041	19.828	9066.1	0.0106	19.829	12031.8	0.007	19.923	69898	0.0581	19.922	2621.9	0.0026	20.162	13372839.1	29.6574	19.822	8752	0.0056	19.922	3236.6	0.0052	20.625	1012.9	0.001	19.76	7152.1	0.0075	19.756	5776	0.0069	19.771	8870.5	0.008	19.765	9727.4	0.0123	19.823	3574.9	0.0077	19.76	5725.1	0.0086	19.828	6875.3	0.0054	19.924	10310.2	0.0141	19.833	15570.2	0.007	19.927	21667.4	0.0272	19.752	1590	0.006	19.826	2436.2	0.0045	19.82	1784.6	0.0091	19.919	1487.2	0.0063	19.4	4572.9	0.0136
21.775	879746.9	1.5519	19.928	3562.3	0.0042	19.924	13485.5	0.0079	20.274	44783926	37.2306	19.987	7410.5	0.0074	20.548	2044.8	0.0045	20.277	44176501.2	28.3335	19.984	5770	0.0092	20.668	4083.3	0.0041	19.829	5548.6	0.0058	19.826	4321	0.0051	19.828	10500.8	0.0095	19.829	6755.9	0.0085	19.923	4513.8	0.0097	19.827	5007	0.0075	20.265	37741355.7	29.8557	19.992	13296.1	0.0182	19.937	41519.7	0.0187	20.209	22914239.1	28.7832	19.821	1047.9	0.0039	19.927	2404.3	0.0044	19.919	861.3	0.0044	19.983	8176.1	0.0345	19.516	2693.9	0.008
22.34	4173.2	0.0074	20.208	23845285.5	27.7912	19.987	14721.2	0.0086	20.537	1207.7	0.001	20.234	30328684.9	30.1058	20.655	1145.2	0.0025	20.346	157075.2	0.1007	20.197	19945514.5	31.9648	20.757	3991.9	0.004	19.925	5050	0.0053	19.922	7930.9	0.0094	19.935	4935.1	0.0045	19.926	23046.4	0.0291	19.986	6650.2	0.0143	19.925	4642.6	0.007	20.345	1619.3	0.0013	20.206	22005698.5	30.1515	19.987	30076.5	0.0136	20.336	1512	0.0019	19.987	2521.4	0.0095	19.989	5535.7	0.0102	19.979	2068.5	0.0105	20.132	6771914	28.5951	19.75	3082.4	0.0092
22.47	18929.1	0.0334	20.343	414262.2	0.4828	20.235	31900689.6	18.6711	20.677	2670.6	0.0022	20.523	1598	0.0016	20.751	1891.7	0.0042	20.536	3216.3	0.0021	20.335	1751.3	0.0028	20.804	1951.1	0.0019	20.225	27468243.8	28.8172	20.189	18890080.1	22.4622	20.243	32282607.5	29.1574	20.216	24755329.7	31.2069	20.175	14262644	30.773	19.994	11569.8	0.0174	20.536	1947.4	0.0015	20.338	24694.3	0.0338	20.286	46696564.2	21.0727	20.669	2250.4	0.0028	20.145	8386876.1	31.458	20.191	17370086.5	31.9996	20.132	6545130.6	33.193	20.338	10472.8	0.0442	19.822	2142.9	0.0064
22.521	12607.6	0.0222	20.517	1416.8	0.0017	20.344	257050	0.1504	20.767	8084.6	0.0067	20.563	1633.3	0.0016	20.8	1296.9	0.0029	20.646	3637.9	0.0023	20.555	2094.7	0.0034	20.911	3184	0.0032	20.339	7743.6	0.0081	20.664	1153	0.0014	20.347	228649.3	0.2065	20.34	41626.2	0.0525	20.336	4535.9	0.0098	20.19	17234062.6	25.9786	20.647	2668.1	0.0021	20.665	2729	0.0037	20.359	102456.5	0.0462	20.762	5039.5	0.0063	20.337	5671.3	0.0213	20.339	7606.2	0.014	20.336	5708.5	0.029	20.66	1095.4	0.0046	19.924	2433.2	0.0072
22.598	174703.4	0.3082	20.666	8388.1	0.0098	20.528	4150.6	0.0024	20.816	2014.7	0.0017	20.632	1625.1	0.0016	20.955	46624.2	0.1034	20.675	11149.1	0.0072	20.662	7629.9	0.0122	20.962	94768.6	0.0943	20.523	1606.6	0.0017	20.758	3951.3	0.0047	20.531	1599.6	0.0014	20.67	1613.8	0.002	20.66	3827.1	0.0083	20.338	3345.4	0.005	20.673	5469.8	0.0043	20.761	5404.2	0.0074	20.55	1161.5	0.0005	20.809	1600.6	0.002	20.659	2539.7	0.0095	20.515	1300.1	0.0024	20.659	4136.4	0.021	20.693	1985.7	0.0084	19.987	4304.5	0.0128
23.09	71321.5	0.1258	20.76	5475.6	0.0064	20.641	3962.1	0.0023	20.968	127037.6	0.1056	20.669	4336.9	0.0043	21.026	10095.8	0.0224	20.767	2705.7	0.0017	20.757	2201.5	0.0035	21.03	15983.8	0.0159	20.665	4568.5	0.0048	20.805	1355.3	0.0016	20.672	5634.1	0.0051	20.762	3750.8	0.0047	20.757	2539.6	0.0055	20.63	2048.6	0.0031	20.769	2819.1	0.0022	20.814	1139	0.0016	20.588	4496.4	0.002	20.966	87649.8	0.1101	20.962	16891.5	0.0634	20.556	2251.4	0.0041	20.804	673.5	0.0034	20.756	2073.2	0.0088	20.146	9020743	26.8524
23.145	22869.9	0.0403	20.811	2342.1	0.0027	20.669	5411.1	0.0032	21.035	15147.4	0.0126	20.758	3416.9	0.0034	21.561	164741.9	0.3654	20.82	1523.3	0.001	20.959	37065.3	0.0594	21.226	4948.5	0.0049	20.761	4559.4	0.0048	20.961	77157.8	0.0917	20.767	9226.7	0.0083	20.809	1276.7	0.0016	20.961	29719.4	0.0641	20.663	4967	0.0075	20.819	1129.1	0.0009	20.964	64186.5	0.0879	20.686	5901.4	0.0027	21.035	11521.6	0.0145	21.032	3320.9	0.0125	20.629	1507	0.0028	20.961	7620	0.0386	20.963	29454.3	0.1244	20.338	4095.6	0.0122
23.262	147705.9	0.2606	20.87	1275.5	0.0015	20.694	5335.1	0.0031	21.229	3868	0.0032	20.813	2130.1	0.0021	21.616	19380.4	0.043	20.879	2694.8	0.0017	21.029	8076.2	0.0129	21.571	425158	0.4232	20.963	64618.2	0.0678	21.03	7922.2	0.0094	20.819	2821.2	0.0025	20.965	85212.9	0.1074	21.031	4215.2	0.0091	20.76	3357.5	0.0051	20.882	1552.3	0.0012	21.033	2995.3	0.0041	20.778	9363.7	0.0042	21.23	4084.9	0.0051	21.403	5222.7	0.0196	20.679	6102.6	0.0112	21.031	4073.9	0.0207	21.033	5141.5	0.0217	20.661	1849	0.0055
23.343	43739.6	0.0772	20.963	75667.7	0.0882	20.765	15312.1	0.009	21.497	2808.1	0.0023	20.872	1310.8	0.0013	21.775	1100931.5	2.4416	20.967	78496.1	0.0503	21.226	1728.1	0.0028	21.796	2358004.8	2.3472	21.032	3921.1	0.0041	21.226	1547.3	0.0018	20.878	2342.5	0.0021	21.034	8191.8	0.0103	21.402	4159.8	0.009	20.873	1097.9	0.0017	20.97	56052.9	0.0443	21.405	22817	0.0313	20.825	6826	0.0031	21.406	1771	0.0022	21.497	1692.2	0.0063	20.759	3651.4	0.0067	21.402	3352.1	0.017	21.406	7416.9	0.0313	20.756	1268.4	0.0038
