Compounds	MW	BEPH01	BEPH02	BEPH03	BEPH04	BEPH05	BEPH06	BEPH07	BEPH08	BEPH09	BEPH10	BEPH11	BEPH12	BEPH13	BEPH14	BEPH15	BEPH16	BEPH17	BEPH18	BEPH19	BEPH20
Nonacosene	406	23.094	23.094	23.097	23.094	23.096	23.099	23.093	23.096	23.095	23.09	23.092	23.094	23.093	23.09	23.091	23.094	23.093	23.091	23.093	23.096
Nonacosene	406	23.155	23.153	23.155	23.15	23.151	23.156	23.151	23.153	23.152	23.145	23.145	23.15	23.15	23.149	23.15	23.15	23.149	23.148	23.151	23.148
Nonacosane	408	23.269	23.269	23.271	23.264	23.266	23.272	23.266	23.275	23.265	23.261	23.262	23.265	23.264	23.262	23.265	23.266	23.261	23.26	23.263	23.259
Triacontane	424		23.344	23.346	23.342	23.341	23.348	23.343		23.343			23.341	23.342			23.341	23.339	23.338	23.341	23.335
Hentriacontene I		24.516	24.514	24.515	24.515	24.515	24.52	24.516	24.515	24.515	24.511	24.512	24.514	24.513	24.511	24.513	24.515	24.513	24.51	24.511	24.513
Hentriacontene II	434	24.567	24.565	24.567	24.566	24.566	24.571	24.567	24.567	24.567	24.564	24.564	24.565	24.565	24.564	24.565	24.566	24.565	24.561	24.563	24.561
Hentriacontane	436	24.66	24.659	24.66	24.659	24.658	24.664	24.66	24.662	24.659	24.659	24.658	24.658	24.658	24.658	24.659	24.659	24.656	24.654	24.655	24.652
Hexadecenyl tetradecenoate	448	26.128	26.129	26.13	26.127	26.127	26.132	26.127	26.128	26.128	26.124	26.124	26.126	26.126	26.123	26.129	26.126	26.124	26.125	26.125	26.123
Hexadecenyl tetradecenoate	448	26.19	26.188	26.188	26.187	26.186	26.192	26.188	26.188	26.187	26.184	26.184	26.186	26.187	26.185	26.187	26.186	26.184	26.185	26.184	26.183
Hexadecyl tetradecenoate	450	26.256	26.256	26.256	26.254	26.254	26.26	26.254	26.255	26.254	26.254	26.255	26.253	26.254	26.251	26.256	26.255	26.252	26.251	26.251	26.249
Hexadecyl tetradecenoate	450	26.313	26.31	26.31	26.309	26.309	26.315	26.311	26.312	26.31	26.308	26.31	26.309	26.309	26.308	26.309	26.309	26.306	26.306	26.307	26.306
Hexadecyl tetradecanoate	452	26.391	26.39	26.39	26.389	26.389	26.394	26.391	26.39	26.39	26.388	26.387	26.39	26.39	26.386	26.39	26.39	26.388	26.386	26.385	26.385
Hexadecenyl hexadecenoate	476	27.479	27.478	27.489	27.44	27.465	27.446	27.42	27.442	27.439	27.392	27.395	27.431	27.441	27.425	27.451	27.434	27.428	27.485	27.457	27.44
Hexadecyl hexadecenoate	478	27.575	27.576	27.588	27.55	27.571	27.555	27.537	27.565	27.545	27.513	27.508	27.54	27.546	27.528	27.549	27.541	27.532	27.566	27.551	27.544
Octadecenyl hexadecenoate	504	28.852	28.852	28.859	28.846	28.854	28.851	28.84	28.842	28.845	28.833	28.833	28.839	28.843	28.836	28.846	28.841	28.837	28.846	28.844	28.842
Octadecenyl hexadecanoate	506	28.989	28.989	28.999	28.985	28.994	28.991	28.981	28.985	28.981	28.971	28.968	28.978	28.981	28.974	28.984	28.98	28.975	28.978	28.978	28.977
