BFLA01	BFLA02	BFLA03	BFLA04	BFLA05	BFLA06	BFLA07	BFLA08	BFLA09	BFLA10	BFLA11																						
RT	Area	RA																														
27.574	441473	0.51	25.432	28595.8	0.09	26.685	76887.3	0.13	26.686	62918.2	0.07	25.849	99881.4	0.19	25.849	108587	0.22	25.851	75250	0.13	25.789	16444.4	0.04	25.849	56883.2	0.15	26.401	125320.7	0.27	26.402	93416.5	0.14
27.651	574409.7	0.66	25.67	48918.3	0.15	26.911	44761.2	0.08	26.913	69946.6	0.08	26.402	158896.1	0.31	26.401	158720.7	0.32	26.403	141595.8	0.24	25.849	72180.3	0.18	26.4	73437.9	0.2	26.685	29021.8	0.06	26.686	33234.5	0.05
28.991	308319.6	0.35	25.791	1492	0	27.448	41473.3	0.07	27.45	76836.2	0.09	26.685	50120.7	0.1	26.686	81210.3	0.16	26.687	47254.1	0.08	26.4	99823.6	0.25	26.685	22382	0.06	26.912	47223.6	0.1	26.914	58106.1	0.09
29.101	163362	0.19	25.849	54523	0.16	27.567	228990.2	0.39	27.574	441473	0.49	26.912	57760.9	0.11	26.912	46373.1	0.09	26.914	65674.6	0.11	26.685	55449.9	0.14	26.912	30974.5	0.08	27.453	30893.3	0.07	27.456	18852.3	0.03
29.458	67692.5	0.08	26.398	52463.6	0.16	27.644	358262.6	0.61	27.651	574409.7	0.64	27.45	42196.2	0.08	27.45	68511.5	0.14	27.453	46302.1	0.08	26.912	42702.6	0.11	27.453	17247.7	0.05	27.573	453536.8	0.97	27.574	450053.3	0.69
29.552	109922.3	0.13	26.684	17971.9	0.05	28.988	255331.3	0.43	28.991	308319.6	0.35	27.568	269296.9	0.52	27.567	211501.3	0.42	27.573	374750.7	0.64	27.45	38305.7	0.1	27.567	249468.9	0.67	27.65	515501.6	1.1	27.644	244029.7	0.37
31.47	52237.6	0.06	26.911	22039.6	0.07	29.1	136390.8	0.23	29.101	163362	0.18	27.647	457865.1	0.88	27.65	554558.9	1.11	27.649	432909.8	0.74	27.565	146554.6	0.36	27.643	311984.9	0.84	28.99	306838	0.65	28.992	300963	0.46
			27.451	6055.1	0.02	29.459	69742.5	0.12	29.458	67692.5	0.08	28.988	241745.7	0.47	28.992	334786.1	0.67	28.989	260274.1	0.45	27.646	441324.4	1.1	28.985	151481.6	0.41	29.1	139890	0.3	29.1	105883.5	0.16
			27.565	162820.6	0.49	29.553	151274.2	0.26	29.552	109922.3	0.12	29.099	141564.9	0.27	29.105	209766.8	0.42	29.103	156940.1	0.27	28.99	310599.5	0.77	29.098	76292	0.21	29.457	43276.3	0.09	29.461	73302.3	0.11
			27.639	203617.4	0.61	31.472	88036.2	0.15	31.47	52237.6	0.06	29.458	42828.8	0.08	29.461	59606.1	0.12	29.458	49576.8	0.08	29.102	182440	0.45	29.458	28007	0.08	29.55	59990.4	0.13	29.554	72128.4	0.11
			28.98	78912.2	0.24							29.552	91850.7	0.18	29.554	150192	0.3	29.552	67203.3	0.11	29.455	38079.9	0.09	29.549	35312.7	0.1	31.468	29655.1	0.06	31.471	47030.8	0.07
			29.098	46990.3	0.14							31.471	40894.4	0.08	31.475	129320.9	0.26	31.473	42806.5	0.07	29.553	119258.9	0.3	31.469	17135.6	0.05						
			29.453	13679.3	0.04																31.473	98089.3	0.24									
			29.546	18200.3	0.05																											
			31.465	8202.9	0.02																											
